"key","en","ja","zh-TW"
"active_admin.any","Any","どれでも","任何"
"active_admin.batch_actions.labels.deferred_item_label","Deferred Item Label","手動判定マーキング","人工判斷標示"
"active_admin.batch_actions.labels.pending","Pending","棚","擱置"
"active_admin.batch_actions.labels.processing","Processing","処理","處理中"
"active_admin.batch_actions.labels.remitted","Received account number, should check the payment","送金","已匯款"
"active_admin.blank_slate.content","No %{resource_name} yet.","%{resource_name} はまだありません。","暫時還沒有%{resource_name}."
"active_admin.blank_slate.link","Create one","新規作成","新建一個"
"active_admin.cancel","Cancel","キャンセル","取消"
"active_admin.clear_filters","Clear Filters","条件をクリア","清除條件"
"active_admin.dashboard","Dashboard","コントロールパネル","控制面板"
"active_admin.dashboard_welcome.call_to_action","To add new dashboard content, please modify 'app/admin/dashboards.rb'","新しいダッシュボードコンテンツを追加するには、「app/admin/dashboards.rb」を変更します。","若要添加新的面板內容, 請修改 'app/admin/dashboards.rb'"
"active_admin.dashboard_welcome.welcome","Welcome to Active Admin. This is the default dashboard page.","Active Admin へようこそ。これはデフォルトのコントロール パネル ページです。","歡迎使用Active Admin. 這是預設的控製面板頁."
"active_admin.deferred_items.attributes.body_html","Introduction","導入","介紹"
"active_admin.deferred_items.attributes.brief","Brief","簡単な説明","簡述"
"active_admin.deferred_items.attributes.created_at","Identification Tag Generation Time","識別タグ生成時間","辨識標籤產生時間"
"active_admin.deferred_items.attributes.deferred_item_labeling_status","Deferred Item Labeling Status","繰延商品の判定状況","遞延性商品判斷狀態"
"active_admin.deferred_items.attributes.notification_time","Notification Time","通知時間","通知時間"
"active_admin.deferred_items.attributes.price","Price","価格","價格"
"active_admin.deferred_items.attributes.product","Product Name","製品名","產品名稱"
"active_admin.deferred_items.attributes.product_id","Product ID","製品ID","產品 ID"
"active_admin.deferred_items.attributes.product_id_and_name","Product ID/Name","製品ID/名前","產品 ID/名稱"
"active_admin.deferred_items.attributes.published","Published or Not","入手可能でしょうか？","是否上架"
"active_admin.deferred_items.attributes.shop","Selling Store","店舗","販售商店"
"active_admin.deferred_items.attributes.shop_id","Store ID","店舗ID","商店 ID"
"active_admin.deferred_items.attributes.shop_recipients","Notification Recipients","受信者に通知する","通知收件人"
"active_admin.deferred_items.attributes.slogan","Slogan","スローガン","標語"
"active_admin.deferred_items.attributes.title","Product Name","製品名","產品名稱"
"active_admin.deferred_items.attributes.unpublished_time","Unpublishing Time","棚から撤去する時間","下架時間"
"active_admin.deferred_items.attributes.updated_at","Last Identification Status Update Time","識別ステータスの最終更新時刻","辨識狀態最後更新時間"
"active_admin.deferred_items.attributes.update_history","Update Record","変更ログ","更新紀錄"
